district,total_pdfs,total_acs,min_pdfs_per_ac,max_pdfs_per_ac
BAGALKOT,1289,7,148,227
BANGALORE RURAL,1637,9,3,247
BANGALORE URBAN,2294,4,249,1104
BBMP,2315,12,104,352
BELGAUM,3086,18,78,226
BELLARY,1459,8,154,220
BIDAR,1064,6,156,212
BIJAPURA,1563,8,162,249
CHAMARAJANAGAR,908,5,154,199
CHIKKAMAGALURU,773,5,72,190
CHITRADURGA,1273,7,164,200
DAKSHINA KANNADA,1574,9,126,199
DAVANGERE,1315,7,158,219
DHARWAD,1328,7,159,267
GADAG,730,5,120,175
GULBARGA,1941,10,156,272
HASSAN,1656,8,172,255
HAVERI,1159,6,171,207
KODAGU,511,3,153,182
KOLAR,2173,12,159,204
KOPPAL,941,5,172,201
MANDYA,1641,9,150,201
MYSORE,2162,11,147,286
RAICHUR,1153,6,177,221
SHIVAMOGGA,1534,8,152,257
TUMKUR,2428,13,161,260
UDUPI,1037,6,141,196
UTTAR KANNADA,1055,6,80,213
